"","Behaviour_1","days.iqr","fix.iqr","hr.iqr","rad.iqr","rev.iqr","away.iqr","count"
"1","Kill",12,13.5,76.98865,145,2,0.521584264,363
"2","Resting",14,4,34,142,1,0.586956522,201
"3","Unknown",18.75,5,44.5,142.5,1,0.60277777775,128
"4","Revisit",15.25,7.25,43.013725,125,1,0.622252747,48
"5","Rendez-vous",17.5,49,244.98855,143.5,7.75,0.33491843675,66
"6","Probable kill",31,15,60.0014,157,3,0.704980843,53
"7","Scavenge",16,10,94.0036,152,3,0.846153846,89
"8","Den",15,78,387.9811,208,15,0.221717422,37
"9","Probable prey encounter",15,7,23.002025,149.5,1,0.594736842,42
"10","Scat",19.5,5.75,63.01085,92,3,0.169065656,8
"11","Probable resting",29,5,81.9936,161,1,0.708333333,25
"12","Probable scavenge",0,0,0,0,0,0,1
