"","Behav","days.mean","days.min","days.max","fix.mean","fix.min","fix.max","hr.mean","hr.min","hr.max","rad.mean","rad.min","rad.max","rev.med","rev.mean","rev.min","rev.max","away.med","away.mean","away.min","away.max","count"
"1","Moose Kill",-23.1627906976744,-59,6,26.1720930232558,2,129,107.862742790698,2.0028,674,236.558139534884,15,479,2,3.12093023255814,0,16,0.408163265306122,0.405814241590984,0,0.944444444444444,215
"2","Other",-19.5142045454545,-59,7,9.40056818181818,2,72,56.33369375,2,450,156.784090909091,2,474,1,1.38068181818182,0,17,0.333333333333333,0.379318717635354,0,0.962264150943396,352
"3","Resting",-20.7114285714286,-59,6,9.32285714285714,2,115,41.1724551428571,1.5,426,138.865714285714,1,479,0,1.02571428571429,0,15,0,0.261578249657056,0,0.951219512195122,350
"4","Scavenge",-20.3963414634146,-56,6,14.6707317073171,2,94,89.2091054878049,2,450,204.896341463415,5,498,2,2.70731707317073,0,17,0.54484126984127,0.4474500265801,0,0.954545454545455,164
"5","Probable Kill",-22.9526066350711,-58,4,9.03791469194313,2,73,48.9430758293839,1.5,436,158.497630331754,3,496,1,1.15165876777251,0,13,0.0909090909090909,0.315874020302116,0,0.947368421052632,211
"6","Beaver Kill",-20.68125,-55,5,9.9625,2,97,43.58400875,1.5,316,148.7125,4,510,0,0.94375,0,12,0,0.30779638008466,0,0.956521739130435,160
"7","Deer Kill",-18.9111111111111,-47,0,16.3555555555556,2,61,72.9699933333333,4,450,207.422222222222,22,523,1,2.2,0,17,0.230769230769231,0.363996991633602,0,0.934426229508197,45
"8","Den",-20.6190476190476,-56,7,41.8253968253968,2,135,240.786644444444,2,1060,211.238095238095,15,430,4,7.25396825396825,0,30,0.589285714285714,0.496433250926142,0,0.879699248120301,63
"9","Rendez-vous",-30.1176470588235,-56,-3,39.1176470588235,3,130,242.001617647059,4,656,243.823529411765,83,451,5,7.41176470588235,0,20,0.603658536585366,0.520221403518512,0,0.830985915492958,17
