"","Behav","days.mean","days.min","days.max","fix.mean","fix.min","fix.max","hr.mean","hr.min","hr.max","rad.mean","rad.min","rad.max","rev.med","rev.mean","rev.min","rev.max","away.mean","away.min","away.max","count"
"1","Other",-15.1815286624204,-139,7,13.7388535031847,2,112,64.8150770700637,1.9972,714.0089,182.31847133758,1,497,1,1.82802547770701,0,18,0.366697242366242,0,0.942857143,314
"2","Resting",-14.4557522123894,-63,7,8.76991150442478,2,69,41.0886008849557,1.9903,427.9925,134.022123893805,2,402,0,0.898230088495575,0,12,0.262172810659292,0,0.914893617,226
"3","Beaver Kill",-17.1111111111111,-55,-3,8.55555555555556,5,14,32.8884888888889,11.9953,62,84.5555555555556,10,197,1,0.777777777777778,0,2,0.312780341666667,0,0.827586207,9
"4","Revisit",-1.35416666666667,-42,20,10.0625,2,80,44.7080541666667,1.995,280,174.541666666667,12,397,0,1,0,7,0.3022189801875,0,0.945054945,48
"5","Rendez-vous",-18.4166666666667,-55,5,34.4,2,135,192.167641666667,5.9944,785.9997,265.3,52,506,3.5,5.63333333333333,0,26,0.52724805115,0,0.896551724,60
"6","Probable Kill",-18.6421052631579,-62,0,11.2210526315789,2,77,56.547307368421,2,520.0006,155.663157894737,6,661,0,1.53684210526316,0,16,0.280921722178947,0,0.931818182,95
"7","Moose Kill",-13.8192771084337,-135,4,21.289156626506,2,102,104.74665060241,1.9825,428,209.807228915663,9,463,2,3.02409638554217,0,19,0.477630119120482,0,0.921052632,83
"8","Scavenge",-18.7078651685393,-250,6,11.9438202247191,2,57,87.9308853932584,1.9833,980.0022,197.674157303371,11,506,1,2.47191011235955,0,20,0.44371986241573,0,0.941176471,89
"9","Den",-12.6774193548387,-72,4,44.3225806451613,3,142,222.903067741935,4,731.9828,238.645161290323,30,473,7,8.19354838709677,0,28,0.504762453741935,0,0.824742268,31
"10","Elk Kill",-11.6363636363636,-46,0,15.6666666666667,4,33,81.0291848484848,6,204.0086,223.818181818182,36,368,2,2.90909090909091,0,9,0.515266976878788,0,0.917647059,33
"11","Calf Kill",-13.1428571428571,-111,3,13.3333333333333,2,50,53.4273476190476,1.9675,142,188.238095238095,24,473,1,1.33333333333333,0,5,0.354096832714286,0,0.85106383,21
"12","Deer Kill",-9.35,-50,0,9.4,2,26,38.8240575,3.9833,122.0061,173.975,22,471,1,1.2,0,5,0.332587405025,0,0.935483871,40
