"","Behaviour_1","days.med","days.mean","days.min","days.max","fix.med","fix.mean","fix.min","fix.max","hr.med","hr.mean","hr.min","hr.max","rad.med","rad.mean","rad.min","rad.max","rev.med","rev.mean","rev.min","rev.max","away.med","away.mean","away.min","away.max","count"
"1","Kill",-8,-12.8181818181818,-139,5,12,17.0137741046832,2,112,55.9831,80.8729774104683,1.9675,714.0089,202,198.798898071625,5,490,2,2.37741046831956,0,19,0.47826087,0.430793565636364,0,0.942857143,363
"2","Resting",-9,-13.4029850746269,-63,7,7,8.78606965174129,2,69,14.0003,40.5770407960199,1.9903,427.9925,121,133.601990049751,2,402,0,0.880597014925373,0,12,0,0.251016509174129,0,0.914893617,201
"3","Unknown",-14,-18.0859375,-59,7,7,8.421875,2,75,16,38.3114390625,1.9972,255.9989,147,154.2578125,1,497,0,0.9609375,0,9,0,0.267185772804688,0,0.93877551,128
"4","Revisit",0,-1.35416666666667,-42,20,6,10.0625,2,80,19.00125,44.7080541666667,1.995,280,188,174.541666666667,12,397,0,1,0,7,0,0.3022189801875,0,0.945054945,48
"5","Rendez-vous",-16.5,-19.3333333333333,-55,5,27.5,51.1060606060606,2,271,165,268.849371212121,5.9944,1402,296.5,278.969696969697,52,595,5,8.27272727272727,0,41,0.5615832615,0.527178539227273,0,0.896551724,66
"6","Probable kill",-11,-21,-62,0,8,14.1698113207547,2,77,36.0089,70.9049679245283,2,520.0006,174,181.962264150943,6,661,1,2,0,16,0.129032258,0.304464637301887,0,0.931818182,53
"7","Scavenge",-7,-18.7078651685393,-250,6,8,11.9438202247191,2,57,38,87.9308853932584,1.9833,980.0022,184,197.674157303371,11,506,1,2.47191011235955,0,20,0.428571429,0.44371986241573,0,0.941176471,89
"8","Den",-6,-10.6216216216216,-72,4,41,74.9189189189189,3,275,236,348.864381081081,4,1244.0022,276,263.108108108108,30,473,10,12.7027027027027,0,43,0.50209205,0.492775364081081,0,0.824742268,37
"9","Probable prey encounter",-11.5,-15.6666666666667,-59,0,7,7.5,2,18,19.9903,38.4293071428571,2,204,89.5,122.47619047619,11,353,0,0.952380952380952,0,7,0,0.25121280547619,0,0.894117647,42
"10","Scat",-5,-14,-43,-1,7,9.25,2,21,44.00835,51.506775,5.9875,118,225.5,204.125,35,289,1,2.125,0,5,0.5,0.51251088475,0,0.896551724,8
"11","Probable resting",-22,-22.92,-52,5,7,8.64,2,29,22,45.201544,2,142.0097,113,137.4,9,333,1,1.04,0,5,0.416666667,0.3518694746,0,0.87037037,25
"12","Probable scavenge",-22,-22,-22,-22,3,3,3,3,17.9931,17.9931,17.9931,17.9931,179,179,179,179,1,1,1,1,0.666666667,0.666666667,0.666666667,0.666666667,1
